step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
10,PAYMENT,6978.29,713328.56,706350.27,0.0,0.0,0,0
344,TRANSFER,715114.31,478845.20,0.00,0.00,715114.31,0,0
319,TRANSFER,374645.72,351109.78,0.00,0.00,170093.38,0,0
10,PAYMENT,11820.51,532878.54,521058.03,0.0,0.0,0,0
14,CASH_IN,215426.8,1276317.46,1491744.26,830797.11,199373.07,0,0
11,CASH_OUT,93337.86,0.0,0.0,9245662.67,9339000.53,0,0
19,CASH_OUT,68885.76,95755.02,26869.26,5510261.81,5600780.74,0,0
16,CASH_IN,83015.62,225038.4,308054.02,270328.92,187313.3,0,0
9,PAYMENT,13752.71,11680.0,0.0,0.0,0.0,0,0
14,CASH_OUT,98278.85,0.0,0.0,366844.87,608136.1,0,0
15,CASH_OUT,120072.21,0.0,0.0,787295.72,907367.93,0,0
12,CASH_OUT,17471.21,16365.0,0.0,31329.46,48800.66,0,0
15,PAYMENT,5373.19,0.0,0.0,0.0,0.0,0,0
490,TRANSFER,265098.36,265098.36,0.00,0.00,265098.36,0,0
11,CASH_OUT,303224.27,0.0,0.0,516042.86,146620.35,0,0
20,CASH_IN,76162.76,27814077.74,27890240.5,312885.55,236722.79,0,0
16,CASH_OUT,87928.74,0.0,0.0,983068.01,1070996.75,0,0
6,PAYMENT,10420.26,19809.0,9388.74,0.0,0.0,0,0
19,CASH_OUT,104614.99,51296.0,0.0,31387.26,136002.24,0,0
9,CASH_IN,217204.08,3280315.15,3497519.23,304733.5,0.0,0,0
18,CASH_OUT,88816.7,11300.0,0.0,139088.4,227905.1,0,0
1,CASH_IN,8679.13,7087875.47,7096554.61,94438.08,52415.15,0,0
17,PAYMENT,13827.16,0.0,0.0,0.0,0.0,0,0
26,CASH_OUT,205553.41,246118.62,40565.21,0.00,205553.41,0,0
691,CASH_OUT,164074.73,164074.73,0.00,816197.30,980272.03,0,0
595,TRANSFER,76732.89,76732.89,0.0,0.0,0.0,1,0
514,CASH_OUT,23606.62,22325.66,0.00,243094.75,251276.63,0,0
11,PAYMENT,13849.59,100694.0,86844.41,0.0,0.0,0,0
18,TRANSFER,230609.96,416174.04,185564.09,528802.22,759412.18,0,0
8,PAYMENT,977.27,13530.0,12552.73,0.0,0.0,0,0
15,PAYMENT,10056.08,10732.0,675.92,0.0,0.0,0,0
19,CASH_OUT,28189.23,806165.5,777976.27,0.0,0.0,0,0
18,CASH_OUT,183007.47,24208.38,0.0,4656254.63,4839262.1,0,0
19,CASH_OUT,179936.47,104.0,0.0,7681534.32,7861470.79,0,0
16,CASH_IN,42791.76,16139027.16,16181818.92,806240.07,763448.31,0,0
11,PAYMENT,2149.34,0.0,0.0,0.0,0.0,0,0
8,PAYMENT,5453.27,0.0,0.0,0.0,0.0,0,0
602,TRANSFER,120484.01,70997.68,0.00,0.00,120484.01,0,0
210,CASH_OUT,199165.67,199165.67,0.00,0.00,0.00,0,0
309,TRANSFER,1990613.74,1990613.74,0.00,0.00,1990613.74,0,0
14,PAYMENT,10797.47,1221066.42,1210268.95,0.0,0.0,0,0
19,PAYMENT,25533.67,0.0,0.0,0.0,0.0,0,0
8,CASH_IN,233931.96,36671.0,270602.96,166001.06,0.0,0,0
409,CASH_OUT,2020.03,2179.43,159.40,12052.42,14072.45,0,0
65,TRANSFER,6737153.62,8404713.18,1667559.56,0.00,4650956.25,0,0
353,TRANSFER,1848610.45,1848610.45,0.00,207723.84,207723.84,0,0
20,CASH_OUT,332145.67,0.0,0.0,816692.31,948599.43,0,0
170,TRANSFER,3163872.69,3163872.69,0.00,0.00,3163872.69,0,0
12,CASH_IN,160168.76,4537601.26,4697770.02,982557.28,1091402.45,0,0
295,CASH_OUT,1288301.40,1288301.40,0.00,167150.37,167150.37,0,0
9,PAYMENT,1662.69,97884.21,96221.52,0.0,0.0,0,0
17,PAYMENT,14732.45,38362.27,23629.82,0.0,0.0,0,0
15,CASH_OUT,179640.51,0.0,0.0,1663389.04,1843029.55,0,0
644,TRANSFER,3016574.40,2557894.16,0.00,0.00,3016574.40,0,0
458,CASH_OUT,622035.79,622035.79,0.00,511703.77,1133739.56,0,0
10,CASH_IN,251302.76,18969270.37,19220573.12,1073446.14,1735831.67,0,0
17,CASH_IN,63804.51,4715727.06,4779531.56,91756.43,101422.88,0,0
19,CASH_OUT,135722.44,200427.0,64704.56,212852.4,348574.84,0,0
361,CASH_OUT,64709.48,30663.10,0.00,3393251.29,3454143.37,0,0
8,PAYMENT,6401.25,100347.0,93945.75,0.0,0.0,0,0
15,CASH_OUT,11482.49,5175.0,0.0,580661.81,592144.3,0,0
7,CASH_IN,138323.26,6094505.43,6232828.69,243327.53,105004.27,0,0
18,CASH_OUT,97938.33,544.0,0.0,0.0,668164.67,0,0
678,TRANSFER,368099.79,506880.89,138781.10,1183143.00,1551242.79,0,0
15,CASH_OUT,227568.28,0.0,0.0,1811258.89,2038827.17,0,0
8,PAYMENT,8637.69,0.0,0.0,0.0,0.0,0,0
18,PAYMENT,11296.81,137059.0,125762.19,0.0,0.0,0,0
14,CASH_OUT,69014.89,0.0,0.0,9280719.58,9349734.47,0,0
18,PAYMENT,14968.87,11064.0,0.0,0.0,0.0,0,0
15,CASH_IN,349779.71,378467.81,728247.51,480454.84,130675.13,0,0
14,CASH_OUT,263135.27,205950.32,0.0,25266819.76,25648086.85,0,0
17,PAYMENT,17117.5,0.0,0.0,0.0,0.0,0,0
548,TRANSFER,108677.54,139765.96,31088.42,1632434.74,1741112.28,0,0
14,CASH_IN,87385.83,6348477.6,6435863.44,2299564.87,3007866.28,0,0
18,TRANSFER,3052290.13,0.0,0.0,5023077.86,10640355.02,0,0
17,PAYMENT,132.07,0.0,0.0,0.0,0.0,0,0
10,PAYMENT,20187.02,1781428.53,1761241.52,0.0,0.0,0,0
13,CASH_OUT,15632.42,50112.0,34479.58,2292721.29,2308353.71,0,0
89,TRANSFER,10043.53,10043.53,0.00,0.00,10043.53,0,0
8,CASH_IN,69093.52,20212987.3,20282080.82,7999977.05,7930883.53,0,0
15,CASH_IN,579.84,5210201.33,5210781.17,2056261.24,2055681.4,0,0
8,CASH_OUT,467028.92,0.0,0.0,589752.09,1101277.75,0,0
11,TRANSFER,163971.24,0.0,0.0,589607.54,770606.26,0,0
16,TRANSFER,1137224.57,0.0,0.0,1241920.01,2746404.52,0,0
12,PAYMENT,4066.34,92538.46,88472.12,0.0,0.0,0,0
689,CASH_OUT,172017.24,172017.24,0.00,0.00,172017.24,0,0
8,CASH_OUT,200869.43,0.0,0.0,1254799.93,1471945.15,0,0
13,CASH_OUT,585666.10,585666.10,0.00,0.00,585666.10,0,0
10,CASH_OUT,231992.16,797878.97,565886.81,2348303.85,2579243.09,0,0
9,CASH_IN,44405.96,7357014.55,7401420.52,75352.19,114310.65,0,0
8,CASH_OUT,97363.79,488.0,0.0,0.0,164284.17,0,0
301,CASH_OUT,2962153.15,1910681.71,0.00,387382.66,3335471.41,0,0
17,PAYMENT,24434.54,112372.22,87937.68,0.0,0.0,0,0
19,PAYMENT,6602.62,182103.98,175501.35,0.0,0.0,0,0
14,CASH_IN,14784.55,1833844.9,1848629.45,186133.95,171349.4,0,0
10,CASH_IN,210468.63,9212024.37,9422493.0,1636073.62,1425604.99,0,0
410,TRANSFER,1042292.75,1191347.25,149054.50,0.00,805392.81,0,0
1,PAYMENT,1146.72,10248.0,9101.28,0.0,0.0,0,0
218,CASH_OUT,2296019.29,2296019.29,0.00,0.00,2296019.29,0,0
467,TRANSFER,144283.42,144283.42,0.0,0.0,0.0,1,0
13,PAYMENT,23141.64,1286674.74,1263533.1,0.0,0.0,0,0
253,CASH_OUT,2843756.79,2843756.79,0.00,0.00,0.00,0,0
10,PAYMENT,22588.33,828798.65,806210.33,0.0,0.0,0,0
420,CASH_OUT,196120.38,196120.38,0.00,0.00,196120.38,0,0
17,PAYMENT,7060.04,325031.0,317970.96,0.0,0.0,0,0
19,CASH_OUT,564044.17,0.0,0.0,2151522.22,2715566.39,0,0
9,CASH_IN,108435.07,7519452.4,7627887.47,1011209.82,1128794.38,0,0
15,CASH_OUT,235400.62,0.0,0.0,570086.04,805486.66,0,0
18,CASH_IN,308934.12,2882514.07,3191448.2,12757004.77,12471317.4,0,0
15,PAYMENT,13745.29,21054.0,7308.71,0.0,0.0,0,0
8,CASH_IN,154122.83,4324218.05,4478340.87,831146.76,1423850.27,0,0
547,CASH_OUT,380157.21,380157.21,0.00,0.00,380157.21,0,0
13,CASH_IN,236913.58,6327464.96,6564378.54,755211.09,441360.85,0,0
11,CASH_IN,162911.27,0.0,162911.27,11797267.52,10901252.01,0,0
70,TRANSFER,1137366.26,1137366.26,0.00,0.00,1137366.26,0,0
636,TRANSFER,1368648.42,1946276.42,577628.00,0.00,1368648.42,0,0
19,CASH_IN,251544.29,34096.0,285640.29,1398722.56,1147178.27,0,0
5,CASH_OUT,74327.43,85151.00,10823.57,14472259.02,14523736.50,0,0
14,TRANSFER,59773.49,0.0,0.0,85058.0,3741360.88,0,0
660,TRANSFER,1130798.32,1130798.32,0.00,0.00,1130798.32,0,0
264,TRANSFER,64525.34,90423.35,25898.01,0.00,64525.34,0,0
6,CASH_OUT,21476.23,0.0,0.0,50020.0,71496.23,0,0
12,CASH_OUT,145292.0,0.0,0.0,948729.99,967199.66,0,0
18,CASH_OUT,204680.51,15148.42,0.0,6585124.35,7529010.28,0,0
13,CASH_OUT,72031.86,0.0,0.0,136782.91,208814.77,0,0
18,PAYMENT,40068.63,14402.0,0.0,0.0,0.0,0,0
402,TRANSFER,1721221.40,0.00,0.00,0.00,1539508.52,0,0
15,CASH_OUT,447252.32,110415.0,0.0,266471.36,713723.68,0,0
13,PAYMENT,30807.57,20784.0,0.0,0.0,0.0,0,0
19,PAYMENT,11423.17,0.0,0.0,0.0,0.0,0,0
16,CASH_OUT,159433.62,11338.0,0.0,0.0,159433.62,0,0
18,PAYMENT,18328.54,0.0,0.0,0.0,0.0,0,0
14,CASH_OUT,233539.03,0.0,0.0,1464302.02,2809803.77,0,0
13,CASH_IN,275843.77,2791054.5,3066898.27,1177593.15,743691.06,0,0
161,TRANSFER,32358172.57,33619076.96,1260904.39,0.00,32358172.57,0,0
11,CASH_OUT,175048.0,0.0,0.0,700522.82,1163780.67,0,0
20,CASH_OUT,615988.72,0.0,0.0,639558.3,1255547.02,0,0
12,PAYMENT,9747.89,178656.09,168908.19,0.0,0.0,0,0
13,CASH_OUT,141952.97,0.0,0.0,2574303.19,2466824.38,0,0
14,CASH_IN,40964.08,3203537.27,3244501.35,100950.0,0.0,0,0
11,CASH_OUT,38182.72,0.0,0.0,944648.84,848240.77,0,0
544,TRANSFER,123925.53,184595.77,60670.24,0.00,123925.53,0,0
13,CASH_IN,54983.29,8119057.39,8174040.69,1532548.51,1477565.21,0,0
15,CASH_OUT,344418.0,0.0,0.0,4756480.42,5368534.88,0,0
12,CASH_OUT,106539.86,73477.0,0.0,710962.26,1060453.45,0,0
438,CASH_OUT,60274.87,60274.87,0.0,7246746.56,7307021.43,1,0
